0,1,2,3
4,1.45,0.163,4
2,1.12,0.132,4
3.4,0.42,0.067,4
8.9,0.37,0.063,4
3.9,1.07,0.127,4
3.4,0.62,0.086,4
15,0.1,0.03,8
6.8,0.4,0.066,4
14.8,0.19,0.045,8
8.9,0.37,0.063,4
5.2,1,0.12,4
8.9,0.37,0.063,4
14.8,0.19,0.045,8
6.8,0.4,0.066,4
15,0.1,0.03,8
5,0.1,0.03,8
6.1,0.36,0.062,4
10,0.2,0.052,8
5,0.1,0.03,8
3.1,0.37,0.063,4
5.2,0.95,0.116,4
8.9,0.37,0.063,4
5,0.1,0.03,8
10,0.2,0.052,8
6.1,0.36,0.062,4
5,0.1,0.03,8
3,0.15,0.035,16
5.6,0.31,0.057,4
5,0.1,0.03,16
8,0.15,0.035,16
5.9,0.18,0.045,8
11.8,0.15,0.042,8
4,0.07,0.02,8
5.2,0.95,0.116,4
4,0.07,0.02,8
11.8,0.15,0.042,8
5.9,0.18,0.045,8
8,0.15,0.035,16
5,0.1,0.03,16
5.6,0.31,0.057,4
3,0.15,0.035,16
6.3,0.28,0.055,4
3,0.1,0.03,8
5.9,0.13,0.039,8
4,0.1,0.03,16
3,0.06,0.02,16
5.9,0.08,0.026,16
3,0.07,0.02,16
1,0.39,0.064,4
5.3,0.87,0.108,4
3,0.07,0.02,16
5.9,0.08,0.026,16
3,0.06,0.02,16
4,0.1,0.03,16
5.9,0.13,0.039,8
3,0.1,0.03,8
6.3,0.28,0.055,8
15,0.15,0.035,8
6.3,0.26,0.053,4
5.9,0.08,0.026,16
7.1,0.18,0.045,4
6.3,0.28,0.054,4
6.6,0.22,0.049,4
3.2,0.26,0.053,4
5.3,0.57,0.08,4
5.9,0.43,0.069,4
3.2,0.26,0.053,4
5.9,0.08,0.026,16
6.3,0.26,0.053,4
15,0.15,0.035,8
6.3,0.25,0.052,4
5,0.07,0.02,16
4,0.06,0.02,16
5,0.07,0.02,16
5.3,0.57,0.08,4
5,0.07,0.02,16
4,0.06,0.02,16
5,0.07,0.02,16
6.3,0.25,0.052,4
5,0.06,0.02,16
4.6,0.24,0.05,4
5.8,0.52,0.076,4
5,0.16,0.043,4
5.8,0.52,0.076,4
4.6,0.24,0.05,4
5,0.06,0.02,16
6.7,0.21,0.049,8
11.7,0.16,0.043,8
8.3,0.29,0.055,4
5,0.2,0.04,16
5,0.2,0.04,16
8.3,0.29,0.055,4
11.7,0.16,0.043,8
6.7,0.21,0.049,8
8.5,0.19,0.0462,8
7.9,0.09,0.028,16
11.7,0.16,0.043,8
6.1,0.27,0.053,4
6.1,0.27,0.053,4
11.7,0.16,0.043,8
7.9,0.09,0.028,16
8.5,0.19,0.0462,8
8.5,0.19,0.046,8
12.7,0.24,0.05,8
12.6,0.23,0.049,16
12.6,0.23,0.049,16
12.7,0.24,0.05,8
8.5,0.19,0.046,8
12.7,0.24,0.05,8
12.7,0.24,0.05,8
9.4,0.2,0.047,8
9.4,0.2,0.047,8
9.4,0.2,0.05,4
9.4,0.2,0.05,4
2.5,0.13,0.039,16
16.1,0.18,0.045,16
16.1,0.18,0.045,16
2.5,0.13,0.039,16
15,0.1,0.02,16
15.9,0.13,0.039,16
16.1,0.18,0.045,16
16.1,0.18,0.045,16
15.9,0.13,0.039,16
15,0.1,0.02,16
15,0.1,0.02,16
15.9,0.13,0.019,16
15.9,0.13,0.019,16
15,0.1,0.02,16
